대분류,중분류(그룹),소분류(메뉴),Depth,변경,비고
원생 · 모집,고객(원생) 관리,회원조회,2,재배치,
원생 · 모집,고객(원생) 관리,상담관리,2,재배치,
원생 · 모집,고객(원생) 관리,FAQ,2,재배치,
원생 · 모집,고객(원생) 관리,공지사항,2,재배치,
원생 · 모집,고객(원생) 관리,회원 병합,2,재배치,
원생 · 모집,모집/접수 관리,반관리,2,유지,
원생 · 모집,모집/접수 관리,일괄접수/입반처리,2,유지,
원생 · 모집,모집/접수 관리,전형관리,2,유지,
원생 · 모집,모집/접수 관리,모집관리,2,유지,
원생 · 모집,모집/접수 관리,접수현황,2,유지,
학사 · 수업,강좌 관리,강좌,2,승격,기존 강좌/교재 관리 ▸ 강좌관리
학사 · 수업,강좌 관리,보강코드,2,승격,기존 강좌/교재 관리 ▸ 강좌관리
학사 · 수업,강좌 관리,추가영상,2,승격,기존 강좌/교재 관리 ▸ 강좌관리
학사 · 수업,교재 관리,기초상품,2,승격,기존 강좌/교재 관리 ▸ 교재관리
학사 · 수업,교재 관리,교재상품,2,승격,기존 강좌/교재 관리 ▸ 교재관리
학사 · 수업,교재 관리,교재그룹,2,승격,기존 강좌/교재 관리 ▸ 교재관리
학사 · 수업,교재 관리,연결교재,2,승격,기존 강좌/교재 관리 ▸ 교재관리
학사 · 수업,물류(교재)상품,물류단품,2,승격,기존 강좌/교재 관리 ▸ 물류(교재)상품
학사 · 수업,물류(교재)상품,간행물,2,승격,기존 강좌/교재 관리 ▸ 물류(교재)상품
학사 · 수업,물류(교재)상품,물류관리,2,승격,기존 강좌/교재 관리 ▸ 물류(교재)상품
학사 · 수업,수업운영 관리,수업관리,2,유지,
소통,메시지발송 관리,메시지관리,2,평탄화,메시지그룹관리 분리
소통,메시지발송 관리,템플릿관리,2,평탄화,메시지그룹관리 분리
소통,메시지발송 관리,080수신거부관리,2,평탄화,메시지그룹관리 분리
소통,메시지그룹 관리,회원그룹,2,승격,기존 메시지발송 관리 ▸ 메시지그룹관리
소통,메시지그룹 관리,광고수신동의그룹,2,승격,기존 메시지발송 관리 ▸ 메시지그룹관리
소통,메시지그룹 관리,비회원문자수신DB,2,승격,기존 메시지발송 관리 ▸ 메시지그룹관리
수납 · 정산,청구/수납 관리,청구관리,2,재배치,
수납 · 정산,청구/수납 관리,납부관리,2,재배치,
수납 · 정산,청구/수납 관리,신한캠퍼스처리,2,재배치,
수납 · 정산,청구/수납 관리,결제내역관리,2,재배치,
수납 · 정산,청구/수납 관리,환불요청처리,2,재배치,
수납 · 정산,청구/수납 관리,VAN 거래이력,2,재배치,
수납 · 정산,장학혜택 관리,쿠폰관리,2,재배치,
수납 · 정산,매출/정산 관리,정산관리,2,재배치,
수납 · 정산,매출/정산 관리,상품정산정보관리,2,재배치,
수납 · 정산,매출/정산 관리,수업통계관리,2,재배치,
설정 · 권한,학원정보 관리,학원관리,2,재배치,
설정 · 권한,학원정보 관리,지점관리,2,재배치,
설정 · 권한,학원정보 관리,공간/시설관리,2,재배치,
설정 · 권한,학원정보 관리,영역/과목관리,2,재배치,
설정 · 권한,선생님(파트너) 관리,선생님관리,2,재배치,
설정 · 권한,Admin 관리,메뉴관리,2,유지,
설정 · 권한,Admin 관리,권한그룹관리,2,유지,
설정 · 권한,Admin 관리,운영자관리,2,유지,
설정 · 권한,시스템 관리,공통코드관리,2,유지,
설정 · 권한,시스템 관리,메모리데이터 갱신,2,유지,
설정 · 권한,시스템 관리,개인정보취급관리,2,유지,
설정 · 권한,시스템 관리,이용약관관리,2,유지,
설정 · 권한,시스템 관리,일괄 작업 이력,2,유지,
설정 · 권한,전체처리,(단일 링크),2,확인,기능 확인 필요
