버킷,항목,대화수
1차 조회 챗봇,납부조회,2
1차 조회 챗봇,동영상보강,2
1차 조회 챗봇,앱 이용안내(라이브반),1
1차 조회 챗봇,강좌 마감여부 확인,1
1차 조회 챗봇,복습영상 제공여부 조회,1
1차 조회 챗봇,라이브→현강 충원/결석영상 안내,1
1차 조회 챗봇,대기번호 확인,1
1차 조회 챗봇,대기안내,1
1차 조회 챗봇,신청내역확인,1
1차 조회 챗봇,강좌개설확인,1
1차 조회 챗봇,대기번호,1
1차 조회 챗봇,대기조회,1
1차 조회 챗봇,모집안내,1
1차 조회 챗봇,보강안내,1
1차 조회 챗봇,신청일정조회,1
1차 조회 챗봇,강좌개설여부,1
1차 조회 챗봇,신청일정,1
2차 처리 기능,라이브신청,4
2차 처리 기능,수강신청,3
2차 처리 기능,전반신청,3
2차 처리 기능,대기신청,3
2차 처리 기능,라이브 신청 방법,2
2차 처리 기능,수강취소,2
2차 처리 기능,신청취소,2
2차 처리 기능,대기복구,2
2차 처리 기능,대기접수(재신청 밀림),1
2차 처리 기능,좌석배정,1
2차 처리 기능,전반(반변경) 신청,1
2차 처리 기능,납부현황/결제기간 조회,1
2차 처리 기능,결제내역(중복결제) 확인,1
2차 처리 기능,환불·재결제,1
2차 처리 기능,시간변경(전반),1
2차 처리 기능,지점/강좌 변경,1
2차 처리 기능,단과 취소,1
2차 처리 기능,대기접수(누락 확인/재접수),1
2차 처리 기능,라이브 신청(강좌 안보임),1
2차 처리 기능,논술 수업 신청,1
2차 처리 기능,결제내역연동,1
2차 처리 기능,결제재요청,1
2차 처리 기능,타반신청안내,1
2차 처리 기능,동영상보강,1
2차 처리 기능,결석신청취소,1
2차 처리 기능,출결오류정정,1
2차 처리 기능,추가영상,1
2차 처리 기능,현강신청,1
2차 처리 기능,교재구매취소,1
2차 처리 기능,출결조회,1
2차 처리 기능,교재배송,1
2차 처리 기능,상품회수,1
2차 처리 기능,출결정정,1
2차 처리 기능,결석취소,1
계정·번호 수정,계정통합,6
계정·번호 수정,연동안됨,6
계정·번호 수정,번호변경,5
계정·번호 수정,대기번호,2
계정·번호 수정,번호삭제,2
계정·번호 수정,이름정정,2
계정·번호 수정,학생/학부모 번호 교체,1
계정·번호 수정,계정통합/탈퇴불가,1
계정·번호 수정,계정 이관(이메일 재가입),1
계정·번호 수정,계정통합/번호중복,1
계정·번호 수정,로그인/비번 변경 안됨,1
계정·번호 수정,수강내역 확인(미등록 수업 표시),1
계정·번호 수정,로그인/계정연동 안됨,1
계정·번호 수정,통합회원 계정 생성,1
계정·번호 수정,아이디 형식(이메일 입력),1
계정·번호 수정,학생번호 수정/수신대상,1
계정·번호 수정,계정통합/수강목록 안보임,1
계정·번호 수정,생년월일 수정,1
계정·번호 수정,정보제공 동의,1
계정·번호 수정,학원정보 연동 안됨,1
계정·번호 수정,계정통합/신청누락,1
계정·번호 수정,회원 통합 에러,1
계정·번호 수정,대기접수 현황 확인,1
계정·번호 수정,학생정보 없음/회원가입,1
계정·번호 수정,계정통합 후 번호/연동,1
계정·번호 수정,번호변경삭제,1
계정·번호 수정,재수강확인,1
계정·번호 수정,비번재설정,1
계정·번호 수정,학생정보초기화,1
계정·번호 수정,정보불일치,1
계정·번호 수정,계정탈퇴,1
계정·번호 수정,탈퇴불가/이메일변경,1
계정·번호 수정,비번찾기/이메일변경,1
계정·번호 수정,성별/정보정정,1
계정·번호 수정,번호변경/삭제,1
계정·번호 수정,계정정보이관,1
계정·번호 수정,성별정정,1
계정·번호 수정,번호등록/계정중복,1
계정·번호 수정,번호중복등록,1
계정·번호 수정,계정정보정정,1
계정·번호 수정,번호등록/중복,1
계정·번호 수정,계정변경,1
계정·번호 수정,번호중복,1
계정·번호 수정,이미가입됨,1
계정·번호 수정,생년월일변경,1
계정·번호 수정,결제권한,1
사람 상담,재생오류,2
사람 상담,환불협의,2
사람 상담,환불요청,1
사람 상담,수강기간연장,1
사람 상담,입학모의고사상담,1
사람 상담,교재개별구매/특강개설여부,1
사람 상담,VOD수강기간/시즌2구입시기/환불규정,1
사람 상담,대기/시즌안내,1
사람 상담,라이브자료수령,1
사람 상담,환불방법,1
사람 상담,영상재생오류,1
사람 상담,플레이어오류,1
사람 상담,자료수령예외,1
사람 상담,대기번호,1
사람 상담,기한연장협의,1
노이즈,빈텍스트,9
노이즈,의미불명,4
노이즈,인사,2
노이즈,전화요청,1
