대분류/중분류,6월건수,의도유형,현재해결률_보수%,현재해결률_낙관%,2차후_보수%,2차후_낙관%,판정근거
입반 상담 / 입반 상담,19698,컨설팅,3,5,12,15,"입반 상담=반/레벨/자리 사람판단, 조회로 끝 안 남"
출결 관리 / 동보자료수령,6563,조회,75,80,85,85,"동영상보강 자료 조회 가능, 깨끗한 조회"
대기자 관리 / 대기 접수,6231,처리,2,3,70,75,"대기접수=액션, 봇 미구현"
출결 관리 / 동영상보강 문의,4996,조회,85,85,88,88,동영상보강 회차·시청기한 조회로 끝
출결 관리 / 결석생 TX,4102,처리,5,10,40,45,"결석생 처리=액션, 조회 아님"
출결 관리 / 결석 예정,3846,처리,5,10,50,55,결석 예정 신고=접수 액션
LIVE / (L)입반 문의,2911,컨설팅,3,5,12,15,LIVE 입반=사람 협의
정산·수납 관리 / 미납상담,2777,혼합,10,20,50,55,"미납상담=협의 포함, 납부현황 조회만 일부"
정산·수납 관리 / 수강료/교재비문의,1914,혼합,15,25,40,45,수강료 일부 조회 가능하나 교재비·문의 협의
대기자 관리 / 대기 충원 입반(신규),1623,처리,2,3,65,70,충원 신규입반=등록 액션
설명회·컨설팅 / 설명회 예약·취소·변경 문의,1547,처리,2,3,45,50,설명회 예약·변경=처리 액션
입반 상담 / 입반상담 기타,1373,컨설팅,3,5,12,15,입반상담 기타=사람판단
퇴원 상담 / 수강취소(수강의사없음),1346,처리,2,3,30,35,"수강취소=처리, 봇 불가"
대기자 관리 / 대기 번호 확인,1335,조회,5,10,75,80,"대기번호 조회 화면 미구현, 현재 거의 못 함"
정산·수납 관리 / 결제 문의·결제 문자 전송,1263,혼합,12,20,55,60,"결제 문자전송=액션, 결제내역 조회 일부"
입반 상담 / 입반 TEST,1060,처리,2,3,28,30,입반테스트=일정·접수 처리
출결 관리 / 지각예정,1036,처리,5,10,50,55,지각예정 신고=접수 액션
입반 상담 / 신규입반·DB 등록,1024,처리,2,3,50,55,신규입반·DB등록=처리
퇴원 상담 / 시간 안맞음,1016,컨설팅,5,10,25,30,"시간안맞음→반변경 협의, 전반조회는 일부"
LIVE / (L)복습·추가영상,1002,조회,75,80,85,85,추가영상 조회로 끝
LIVE / (L)환불·취소,905,처리,2,3,22,25,환불·취소=처리+협의
출결 관리 / 출석부 확인,859,조회,85,85,88,88,출석부=출석 조회 깨끗
정산·수납 관리 / 환불·이월·미납 문의,818,처리,8,15,35,40,"환불·이월=처리, 미납조회만 일부"
기타 / 이외,815,컨설팅,3,5,12,15,기타=사람판단
입반 상담 / LIVE 수업 문의,806,컨설팅,5,10,20,25,LIVE 입반문의=협의
입반 상담 / 전반요청·문의,777,혼합,15,30,45,50,"전반요청=변경 신청(전화), 가능시간 조회만 일부"
LIVE / (L)결제·수강료 문의,760,혼합,12,20,40,45,"LIVE 결제문의=협의, 내역조회 일부"
퇴원 상담 / 수업계획 변경,645,컨설팅,3,5,18,20,수업계획 변경=협의
입반 상담 / 단순 시간표 문의,556,조회,60,75,82,85,시간표 조회 가능하나 입반맥락이라 일부 상담化
재원생 진도·수업 / 교재·과제 문의,505,컨설팅,8,15,28,30,교재·과제=내용 상담
출결 관리 / 현장보강 문의,442,혼합,10,15,42,45,"현장보강=일정조회 일부, 신청은 전화"
LIVE / (L)기타,423,컨설팅,3,5,12,15,LIVE 기타=사람
재원생 진도·수업 / 진도·커리큘럼 문의,401,컨설팅,5,10,22,25,진도·커리큘럼=상담
재원생 진도·수업 / 휴강·재개강 문의,395,컨설팅,8,15,32,35,휴강·재개강=일정변경 협의(종강은 전화안내)
입반 상담 / (재)수강 확인,360,조회,45,55,62,65,"재수강 확인=입반강좌 조회 일부, 상담化 가능"
LIVE / (L)전반 문의,345,혼합,15,30,45,50,"LIVE 전반=변경 신청, 조회 일부"
LIVE / (L)교재·과제 문의,326,컨설팅,5,10,25,30,LIVE 교재·과제=상담
기타 / 타부서 연결,317,컨설팅,2,3,8,10,타부서 연결=사람
교재 수령 / 수령 관련 문의,306,혼합,12,20,42,45,"교재수령=수령처 안내 일부, 처리는 사람"
LIVE / (L)카톡채널,290,컨설팅,3,5,12,15,카톡채널 안내=사람
교재 수령 / 본관 교재수령,261,처리,5,8,32,35,본관 교재수령=수령 처리
교재 수령 / 수업관 교재수령,228,처리,5,8,32,35,수업관 교재수령=처리
퇴원 상담 / 퇴원 상담 기타,220,컨설팅,2,3,12,15,퇴원상담 기타=사람
설명회·컨설팅 / 설명회 시기(일정) 문의,219,조회,10,15,38,40,"설명회 일정 조회 미구현, 현재 거의 못 함"
입반 상담 / 신규생 커리큘럼 문의,213,컨설팅,3,5,12,15,신규생 커리큘럼=상담
퇴원 상담 / 이동(내부 타강사),197,처리,2,3,28,30,강사 이동=변경 처리
퇴원 상담 / 이동(라이브반),194,처리,2,3,28,30,라이브반 이동=변경 처리
대기자 관리 / 대기 충원 입반(현강에서 전반),186,처리,2,3,60,65,충원 전반 입반=등록 처리
퇴원 상담 / 수강 전 취소(미납),185,처리,2,3,28,30,수강 전 취소=처리
LIVE / (L)배송 문의,172,처리,5,8,38,40,LIVE 배송=배송 처리/문의
기타 / 부엉이라이브러리,172,조회,8,10,28,30,부엉이라이브러리 조회 미구현
재원생 진도·수업 / 강의실 문의,171,조회,35,50,60,65,"강의실 조회 일부 가능, 봇 명시 약함"
설명회·컨설팅 / 컨설팅 예약·취소·변경 문의,151,처리,2,3,45,50,컨설팅 예약·변경=처리
정산·수납 관리 / 수납상담,148,혼합,10,20,45,50,"수납상담=협의, 조회 일부"
퇴원 상담 / 이동(외부 동일강사),114,처리,2,3,28,30,외부 이동=처리
대기자 관리 / 대기 취소,112,처리,2,3,65,70,대기취소=처리
대기자 관리 / 대기 충원 입반(라이브에서 전반),107,처리,2,3,60,65,라이브→전반 충원=처리
마이클래스 문의 / 통합회원 계정문의,100,혼합,8,15,35,40,"통합계정문의=계정 처리/안내, 일부 안내만"
LIVE / (L)라->현 충원문의,99,처리,2,3,50,55,라→현 충원=처리
재원생 진도·수업 / 복습영상 문의,95,조회,75,80,85,85,복습영상=동영상보강 조회로 끝
퇴원 상담 / 수업 안맞음·난이도,94,컨설팅,2,3,8,10,난이도 상담=사람판단
기타 / 연구소 소통 문의,85,컨설팅,2,3,8,10,연구소 소통=사람
퇴원 상담 / 이동(재종),75,처리,2,3,22,25,재종 이동=처리
설명회·컨설팅 / 컨설팅 시기(일정) 문의,68,조회,8,10,32,35,컨설팅 일정 조회 미구현
대기자 관리 / 현장 대기(LIVE입반),64,처리,2,3,55,60,현장 대기=접수 처리
LIVE / (L)라이브 컴플,56,컨설팅,2,2,8,8,라이브 컴플=사람
퇴원 상담 / 수강취소·강제퇴원,54,처리,2,3,22,25,수강취소·강제퇴원=처리
기타 / 분실물 문의,50,컨설팅,2,3,12,15,분실물=사람 확인
기타 / 재종 상담 문의,48,컨설팅,2,3,10,12,재종 상담=사람
퇴원 상담 / 이동(외부 타강사),35,처리,2,3,22,25,외부 타강사 이동=처리
재원생 진도·수업 / 강사 교재비 문의,33,혼합,8,12,32,35,"강사 교재비=일부 조회, 협의"
컴플레인 / 컴플레인 기타,22,컨설팅,1,2,6,8,컴플레인=사람
정산·수납 관리 / 납입이력변경,21,처리,2,3,38,40,납입이력변경=처리
정산·수납 관리 / 오입금,12,처리,2,3,32,35,오입금=처리
재원생 진도·수업 / 마이클래스 문의,11,조회,35,40,52,55,"마이클래스 조회 일부, 명확도 낮음"
기타 / 부엉이포스트,10,조회,8,10,28,30,부엉이포스트 조회 미구현
기타 / 고교배정 확인,9,조회,5,8,28,30,고교배정 조회 미구현
정산·수납 관리 / 현금영수증요청,8,처리,2,3,45,50,현금영수증=발급 처리
출결 관리 / QR코드배부·문의,8,혼합,5,10,28,30,"QR코드 배부=처리, 안내 일부"
기타 / 중복DB 삭제 요청,7,처리,2,3,35,40,중복DB 삭제=처리
교재 수령 / 연구소 교재수령,7,처리,5,8,32,35,연구소 교재수령=처리
컴플레인 / 수강료·교재비 불만,5,컨설팅,1,2,6,8,수강료 불만=컴플레인 사람
컴플레인 / 수업 불만,3,컨설팅,1,2,6,8,수업 불만=사람
컴플레인 / 연구소 소통,3,컨설팅,1,2,6,8,연구소 소통 컴플=사람
컴플레인 / 안내 누락·오안내,3,컨설팅,1,2,6,8,오안내 컴플=사람
마이클래스 문의 / 복습영상 문의,2,조회,70,75,82,82,복습영상 조회로 끝
마이클래스 문의 / 앱 서비스 오류,2,컨설팅,3,5,18,20,앱 오류=기술 사람 대응
컴플레인 / 동영상 보강,2,컨설팅,2,3,8,10,동영상보강 컴플=사람
컴플레인 / 강의실 환경,2,컨설팅,1,2,6,8,강의실 환경 컴플=사람
마이클래스 문의 / 동영상보강 문의,1,조회,75,80,85,85,동영상보강 조회로 끝
마이클래스 문의 / 중복DB 삭제 요청,1,처리,2,3,35,40,중복DB 삭제=처리
수업관련 질의응답 / 수업시간에 다루는 내용에 대한 질문,1,컨설팅,2,3,8,10,수업내용 질문=강사 답변
정산·수납 관리 / 컴플레인,1,컨설팅,1,2,8,10,수납 컴플=사람
컴플레인 / 원장·책임자 통화 요청,1,컨설팅,1,1,4,5,원장 통화요청=사람
컴플레인 / 컨설팅 관련,1,컨설팅,1,2,6,8,컨설팅 컴플=사람
