날짜,건수
2026-06-01,2153
2026-06-02,2328
2026-06-03,2598
2026-06-04,1969
2026-06-05,2511
2026-06-06,5108
2026-06-07,5319
2026-06-08,3407
2026-06-09,3432
2026-06-10,2945
2026-06-11,2527
2026-06-12,2518
2026-06-13,4021
2026-06-14,3708
2026-06-15,2339
2026-06-16,2033
2026-06-17,2077
2026-06-18,1840
2026-06-19,2154
2026-06-20,2914
2026-06-21,3080
2026-06-22,2219
2026-06-23,2610
2026-06-24,2140
2026-06-25,2995
2026-06-26,2900
2026-06-27,2782
2026-06-28,1923
2026-06-29,2205
2026-06-30,1108
