대분류,중분류,건수,비중%
입반 상담,입반 상담,19698,24.06
출결 관리,동보자료수령,6563,8.02
대기자 관리,대기 접수,6231,7.61
출결 관리,동영상보강 문의,4996,6.1
출결 관리,결석생 TX,4102,5.01
출결 관리,결석 예정,3846,4.7
LIVE,(L)입반 문의,2911,3.56
정산·수납 관리,미납상담,2777,3.39
정산·수납 관리,수강료/교재비문의,1914,2.34
대기자 관리,대기 충원 입반(신규),1623,1.98
설명회·컨설팅,설명회 예약·취소·변경 문의,1547,1.89
입반 상담,입반상담 기타,1373,1.68
퇴원 상담,수강취소(수강의사없음),1346,1.64
대기자 관리,대기 번호 확인,1335,1.63
정산·수납 관리,결제 문의·결제 문자 전송,1263,1.54
입반 상담,입반 TEST,1060,1.29
출결 관리,지각예정,1036,1.27
입반 상담,신규입반·DB 등록,1024,1.25
퇴원 상담,시간 안맞음,1016,1.24
LIVE,(L)복습·추가영상,1002,1.22
LIVE,(L)환불·취소,905,1.11
출결 관리,출석부 확인,859,1.05
정산·수납 관리,환불·이월·미납 문의,818,1.0
기타,이외,815,1.0
입반 상담,LIVE 수업 문의,806,0.98
입반 상담,전반요청·문의,777,0.95
LIVE,(L)결제·수강료 문의,760,0.93
퇴원 상담,수업계획 변경,645,0.79
입반 상담,단순 시간표 문의,556,0.68
재원생 진도·수업,교재·과제 문의,505,0.62
출결 관리,현장보강 문의,442,0.54
LIVE,(L)기타,423,0.52
재원생 진도·수업,진도·커리큘럼 문의,401,0.49
재원생 진도·수업,휴강·재개강 문의,395,0.48
입반 상담,(재)수강 확인,360,0.44
LIVE,(L)전반 문의,345,0.42
LIVE,(L)교재·과제 문의,326,0.4
기타,타부서 연결,317,0.39
교재 수령,수령 관련 문의,306,0.37
LIVE,(L)카톡채널,290,0.35
교재 수령,본관 교재수령,261,0.32
교재 수령,수업관 교재수령,228,0.28
퇴원 상담,퇴원 상담 기타,220,0.27
설명회·컨설팅,설명회 시기(일정) 문의,219,0.27
입반 상담,신규생 커리큘럼 문의,213,0.26
퇴원 상담,이동(내부 타강사),197,0.24
퇴원 상담,이동(라이브반),194,0.24
대기자 관리,대기 충원 입반(현강에서 전반),186,0.23
퇴원 상담,수강 전 취소(미납),185,0.23
LIVE,(L)배송 문의,172,0.21
기타,부엉이라이브러리,172,0.21
재원생 진도·수업,강의실 문의,171,0.21
설명회·컨설팅,컨설팅 예약·취소·변경 문의,151,0.18
정산·수납 관리,수납상담,148,0.18
퇴원 상담,이동(외부 동일강사),114,0.14
대기자 관리,대기 취소,112,0.14
대기자 관리,대기 충원 입반(라이브에서 전반),107,0.13
마이클래스 문의,통합회원 계정문의,100,0.12
LIVE,(L)라->현 충원문의,99,0.12
재원생 진도·수업,복습영상 문의,95,0.12
퇴원 상담,수업 안맞음·난이도,94,0.11
기타,연구소 소통 문의,85,0.1
퇴원 상담,이동(재종),75,0.09
설명회·컨설팅,컨설팅 시기(일정) 문의,68,0.08
대기자 관리,현장 대기(LIVE입반),64,0.08
LIVE,(L)라이브 컴플,56,0.07
퇴원 상담,수강취소·강제퇴원,54,0.07
기타,분실물 문의,50,0.06
기타,재종 상담 문의,48,0.06
퇴원 상담,이동(외부 타강사),35,0.04
재원생 진도·수업,강사 교재비 문의,33,0.04
컴플레인,컴플레인 기타,22,0.03
정산·수납 관리,납입이력변경,21,0.03
정산·수납 관리,오입금,12,0.01
재원생 진도·수업,마이클래스 문의,11,0.01
기타,부엉이포스트,10,0.01
기타,고교배정 확인,9,0.01
정산·수납 관리,현금영수증요청,8,0.01
출결 관리,QR코드배부·문의,8,0.01
기타,중복DB 삭제 요청,7,0.01
교재 수령,연구소 교재수령,7,0.01
컴플레인,수강료·교재비 불만,5,0.01
컴플레인,수업 불만,3,0.0
컴플레인,연구소 소통,3,0.0
컴플레인,안내 누락·오안내,3,0.0
마이클래스 문의,복습영상 문의,2,0.0
마이클래스 문의,앱 서비스 오류,2,0.0
컴플레인,동영상 보강,2,0.0
컴플레인,강의실 환경,2,0.0
마이클래스 문의,동영상보강 문의,1,0.0
마이클래스 문의,중복DB 삭제 요청,1,0.0
수업관련 질의응답,수업시간에 다루는 내용에 대한 질문,1,0.0
정산·수납 관리,컴플레인,1,0.0
컴플레인,원장·책임자 통화 요청,1,0.0
컴플레인,컨설팅 관련,1,0.0
