대분류,2026-01->2026-02,2026-02->2026-03,2026-03->2026-04,2026-04->2026-05,2026-05->2026-06
출결 관리,-12.4,-20.2,13.5,6.3,-6.0
입반 상담,5.5,-15.7,7.9,17.1,50.8
LIVE,-22.7,32.0,-48.1,19.2,-23.7
퇴원 상담,-37.0,33.7,-67.4,131.4,-37.4
정산·수납 관리,6.6,6.7,-20.7,25.0,6.9
대기자 관리,-9.5,8.3,-38.1,-2.8,205.3
재원생 진도·수업,-34.5,63.0,-41.9,14.9,-25.6
기타,-19.7,-29.0,-22.6,36.0,-17.6
설명회·컨설팅,-42.4,21.4,17.3,-68.6,383.0
교재 수령,-56.3,35.3,-35.6,50.5,-11.2
마이클래스 문의,-48.4,-10.1,-60.3,66.2,-10.2
컴플레인,-35.0,-26.3,-8.9,-15.7,-2.3
수업관련 질의응답,-50.0,50.0,-100.0,,-85.7
