대분류,2026-01to2026-02,2026-02to2026-03,2026-03to2026-04,2026-04to2026-05,2026-05to2026-06
출결 관리,-13.3%,-20.1%,+13.0%,+6.1%,+1.3%
입반 상담,+4.3%,-16.2%,+7.0%,+19.7%,+56.2%
LIVE,-22.6%,+31.3%,-47.6%,+17.4%,-18.3%
퇴원 상담,-37.7%,+33.3%,-66.8%,+128.1%,-33.0%
정산·수납 관리,+6.5%,+6.2%,-22.5%,+28.1%,+13.3%
대기자 관리,-10.9%,+9.7%,-39.4%,-0.8%,+224.3%
재원생 진도·수업,-35.3%,+62.2%,-40.9%,+14.4%,-21.1%
기타,-20.2%,-29.6%,-21.9%,+35.0%,-12.7%
설명회·컨설팅,-41.6%,+22.9%,+17.3%,-68.7%,+394.6%
교재 수령,-55.9%,+35.0%,-34.4%,+46.3%,-2.6%
마이클래스 문의,-48.9%,-13.9%,-58.1%,+67.1%,-5.1%
컴플레인,-37.6%,-26.0%,-5.6%,-17.6%,+2.4%
수업관련 질의응답,-33.3%,+0.0%,-100.0%,NA,-85.7%
