대분류,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,합계
출결 관리,27525,24123,19261,21852,23236,21852,137849
입반 상담,15288,16123,13585,14654,17154,25867,102671
LIVE,15136,11707,15451,8015,9553,7289,67151
퇴원 상담,10497,6608,8838,2882,6668,4175,39668
정산·수납 관리,5779,6162,6576,5213,6514,6962,37206
대기자 관리,5358,4851,5254,3254,3163,9658,31538
재원생 진도·수업,3033,1988,3241,1884,2165,1611,13922
기타,3062,2459,1746,1351,1837,1513,11968
설명회·컨설팅,1595,918,1114,1307,411,1985,7330
교재 수령,1576,689,932,600,903,802,5502
마이클래스 문의,386,199,179,71,118,106,1059
컴플레인,117,76,56,51,43,42,385
수업관련 질의응답,4,2,3,0,7,1,17
