대분류,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,합계
출결 관리,26248,22759,18174,20544,21804,22081,131610
입반 상담,15042,15693,13146,14065,16834,26300,101080
LIVE,14705,11389,14952,7841,9206,7524,65617
퇴원 상담,10182,6347,8461,2807,6402,4288,38487
정산·수납 관리,5617,5982,6351,4925,6308,7149,36332
대기자 관리,5301,4724,5182,3140,3116,10106,31569
재원생 진도·수업,2931,1895,3074,1816,2078,1639,13433
기타,2996,2392,1684,1315,1775,1549,11711
설명회·컨설팅,1542,901,1107,1298,406,2008,7262
교재 수령,1477,652,880,577,844,822,5252
마이클래스 문의,380,194,167,70,117,111,1039
컴플레인,117,73,54,51,42,43,380
수업관련 질의응답,3,2,2,0,7,1,15
