대분류,1-6월누적건수,조회%,처리%,컨설팅%,혼합%,현재잠재해결률_보수%,2차후잠재해결률_보수%
출결 관리,137849,56.8,41.1,0,2.1,47.6,68.6
입반 상담,102671,3.5,8.1,85.4,3.0,5.2,17.6
LIVE,67151,13.7,16.1,55.0,15.2,14.4,29.4
퇴원 상담,39668,0,52.7,47.3,0,2.9,24.8
정산·수납 관리,37206,0,12.3,0.0,87.6,11.5,46.2
대기자 관리,31538,13.8,86.2,0,0,2.4,69.4
재원생 진도·수업,13922,17.2,0,80.8,2.0,14.3,34.5
기타,11968,12.6,0.5,86.9,0,3.3,13.0
설명회·컨설팅,7330,14.5,85.5,0,0,3.1,43.8
교재 수령,5502,0,61.8,0,38.2,7.7,35.8
마이클래스 문의,1059,2.8,0.9,1.9,94.3,9.7,36.0
컴플레인,385,0,0,100.0,0,1.0,6.0
수업관련 질의응답,17,0,0,100.0,0,2.0,8.0
