대분류,중분류,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,합계
입반 상담,입반 상담,10365,10060,7722,9009,8010,19985,65151
출결 관리,동보자료수령,5814,5305,4072,6565,4579,6685,33020
출결 관리,동영상보강 문의,7145,5886,4055,5490,5001,5026,32603
출결 관리,결석생 TX,5861,4934,3877,3164,5238,4123,27197
출결 관리,결석 예정,4276,3999,3807,3042,4404,3876,23404
LIVE,(L)입반 문의,2998,2852,3966,2259,1945,3009,17029
정산·수납 관리,수강료/교재비문의,2976,2497,2971,1687,2523,1966,14620
대기자 관리,대기 접수,1561,1771,1444,1633,1021,6335,13765
LIVE,(L)환불·취소,3784,2043,3061,1535,1991,932,13346
입반 상담,(재)수강 확인,431,1237,1186,2820,4999,366,11039
퇴원 상담,수강취소(수강의사없음),2970,1610,2240,1000,1788,1387,10995
퇴원 상담,시간 안맞음,2174,1808,2609,659,1634,1040,9924
정산·수납 관리,미납상담,460,1483,1244,1743,1442,2817,9189
대기자 관리,대기 충원 입반(신규),1773,1335,1755,746,950,1814,8373
LIVE,(L)복습·추가영상,1714,1254,1652,1133,1246,1015,8014
LIVE,(L)결제·수강료 문의,1327,1381,1459,975,912,784,6838
출결 관리,지각예정,1286,1075,1040,935,1134,1049,6519
입반 상담,LIVE 수업 문의,1465,1166,1157,578,666,827,5859
정산·수납 관리,결제 문의·결제 문자 전송,1004,873,863,557,1232,1319,5848
기타,이외,1123,794,981,831,1127,835,5691
LIVE,(L)전반 문의,1686,1244,1271,312,777,360,5650
입반 상담,전반요청·문의,1159,950,1183,396,949,790,5427
정산·수납 관리,환불·이월·미납 문의,937,857,937,805,950,849,5335
출결 관리,출석부 확인,967,674,770,963,830,870,5074
퇴원 상담,수업계획 변경,1315,738,1039,361,846,654,4953
입반 상담,입반상담 기타,823,713,755,485,727,1409,4912
재원생 진도·수업,교재·과제 문의,802,438,942,685,698,517,4082
대기자 관리,대기 번호 확인,661,615,620,403,351,1388,4038
LIVE,(L)기타,1025,710,779,412,668,434,4028
출결 관리,현장보강 문의,784,853,533,380,597,444,3591
설명회·컨설팅,컨설팅 예약·취소·변경 문의,1136,546,929,564,246,153,3574
퇴원 상담,이동(라이브반),812,822,833,176,553,202,3398
LIVE,(L)교재·과제 문의,677,512,913,392,527,336,3357
입반 상담,입반 TEST,126,830,349,191,691,1088,3275
LIVE,(L)배송 문의,856,623,746,330,471,177,3203
입반 상담,신규입반·DB 등록,351,367,451,325,442,1053,2989
설명회·컨설팅,설명회 예약·취소·변경 문의,271,215,112,642,71,1565,2876
재원생 진도·수업,강의실 문의,852,356,722,188,440,173,2731
기타,부엉이라이브러리,1063,872,270,152,179,177,2713
대기자 관리,대기 충원 입반(라이브에서 전반),706,488,553,142,336,134,2359
재원생 진도·수업,진도·커리큘럼 문의,364,395,491,333,358,409,2350
퇴원 상담,수업 안맞음·난이도,1088,263,333,123,321,94,2222
재원생 진도·수업,휴강·재개강 문의,273,409,503,382,239,399,2205
대기자 관리,대기 충원 입반(현강에서 전반),413,363,635,135,391,249,2186
교재 수령,수령 관련 문의,524,266,388,310,352,322,2162
LIVE,(L)라->현 충원문의,428,456,496,159,325,128,1992
퇴원 상담,퇴원 상담 기타,555,336,340,147,343,226,1947
퇴원 상담,이동(내부 타강사),574,216,416,105,301,211,1823
입반 상담,단순 시간표 문의,254,235,242,167,252,565,1715
교재 수령,본관 교재수령,626,174,187,142,177,263,1569
LIVE,(L)카톡채널,0,218,414,268,220,292,1412
교재 수령,수업관 교재수령,293,194,277,104,258,230,1356
기타,타부서 연결,273,209,181,139,173,324,1299
재원생 진도·수업,복습영상 문의,355,180,199,155,203,96,1188
정산·수납 관리,수납상담,171,207,289,115,120,155,1057
퇴원 상담,수강 전 취소(미납),169,112,215,92,215,190,993
마이클래스 문의,통합회원 계정문의,256,138,136,52,92,104,778
LIVE,(L)라이브 컴플,210,96,195,66,124,57,748
재원생 진도·수업,강사 교재비 문의,248,97,188,60,111,34,738
입반 상담,신규생 커리큘럼 문의,68,135,101,94,98,217,713
기타,연구소 소통 문의,177,118,125,74,99,85,678
퇴원 상담,수강취소·강제퇴원,158,130,111,34,143,54,630
퇴원 상담,이동(외부 동일강사),135,63,137,43,92,117,587
기타,고교배정 확인,199,292,13,12,19,9,544
대기자 관리,현장 대기(LIVE입반),134,95,106,54,42,69,500
퇴원 상담,이동(재종),72,189,70,29,52,76,488
퇴원 상담,이동(외부 타강사),132,56,111,26,100,37,462
기타,분실물 문의,96,56,84,79,89,54,458
설명회·컨설팅,컨설팅 시기(일정) 문의,104,106,53,40,40,68,411
설명회·컨설팅,설명회 시기(일정) 문의,31,34,13,52,49,222,401
대기자 관리,대기 취소,53,57,69,27,25,117,348
기타,재종 상담 문의,61,50,20,27,53,48,259
출결 관리,QR코드배부·문의,115,33,20,5,21,8,202
교재 수령,연구소 교재수령,34,18,28,21,57,7,165
컴플레인,컴플레인 기타,41,37,20,8,11,23,140
재원생 진도·수업,마이클래스 문의,37,20,29,13,29,11,139
정산·수납 관리,납입이력변경,30,31,12,6,16,22,117
마이클래스 문의,동영상보강 문의,37,18,9,7,14,1,86
정산·수납 관리,오입금,12,9,24,7,17,12,81
정산·수납 관리,현금영수증요청,24,25,10,3,5,8,75
마이클래스 문의,앱 서비스 오류,34,20,11,2,4,2,73
마이클래스 문의,복습영상 문의,38,10,8,7,7,2,72
퇴원 상담,강사 불만족,28,4,7,12,14,0,65
컴플레인,수강료·교재비 불만,9,4,11,13,12,5,54
기타,부엉이포스트,0,0,9,0,35,10,54
컴플레인,강의실 환경,20,4,7,0,2,2,35
컴플레인,연구소 소통,7,6,4,7,7,3,34
컴플레인,안내 누락·오안내,9,9,2,5,3,3,31
컴플레인,동영상 보강,12,6,5,1,2,2,28
컴플레인,수업 불만,6,2,3,9,3,3,26
마이클래스 문의,중복DB 삭제 요청,7,5,3,0,0,1,16
기타,중복DB 삭제 요청,4,1,1,1,1,7,15
컴플레인,LIVE관련,9,2,2,0,2,0,15
수업관련 질의응답,수업시간에 다루는 내용에 대한 질문,3,2,2,0,7,1,15
마이클래스 문의,웹 사이트 오류,8,3,0,2,0,1,14
컴플레인,컨설팅 관련,3,2,0,8,0,1,14
정산·수납 관리,컴플레인,3,0,1,2,3,1,10
컴플레인,원장·책임자 통화 요청,1,1,0,0,0,1,3
