월,대분류,건수
2026-01,LIVE,15136
2026-01,교재 수령,1576
2026-01,기타,3062
2026-01,대기자 관리,5358
2026-01,마이클래스 문의,386
2026-01,설명회·컨설팅,1595
2026-01,수업관련 질의응답,4
2026-01,입반 상담,15288
2026-01,재원생 진도·수업,3033
2026-01,정산·수납 관리,5779
2026-01,출결 관리,27525
2026-01,컴플레인,117
2026-01,퇴원 상담,10497
2026-02,LIVE,11707
2026-02,교재 수령,689
2026-02,기타,2459
2026-02,대기자 관리,4851
2026-02,마이클래스 문의,199
2026-02,설명회·컨설팅,918
2026-02,수업관련 질의응답,2
2026-02,입반 상담,16123
2026-02,재원생 진도·수업,1988
2026-02,정산·수납 관리,6162
2026-02,출결 관리,24123
2026-02,컴플레인,76
2026-02,퇴원 상담,6608
2026-03,LIVE,15451
2026-03,교재 수령,932
2026-03,기타,1746
2026-03,대기자 관리,5254
2026-03,마이클래스 문의,179
2026-03,설명회·컨설팅,1114
2026-03,수업관련 질의응답,3
2026-03,입반 상담,13585
2026-03,재원생 진도·수업,3241
2026-03,정산·수납 관리,6576
2026-03,출결 관리,19261
2026-03,컴플레인,56
2026-03,퇴원 상담,8838
2026-04,LIVE,8015
2026-04,교재 수령,600
2026-04,기타,1351
2026-04,대기자 관리,3254
2026-04,마이클래스 문의,71
2026-04,설명회·컨설팅,1307
2026-04,입반 상담,14654
2026-04,재원생 진도·수업,1884
2026-04,정산·수납 관리,5213
2026-04,출결 관리,21852
2026-04,컴플레인,51
2026-04,퇴원 상담,2882
2026-05,LIVE,9553
2026-05,교재 수령,903
2026-05,기타,1837
2026-05,대기자 관리,3163
2026-05,마이클래스 문의,118
2026-05,설명회·컨설팅,411
2026-05,수업관련 질의응답,7
2026-05,입반 상담,17154
2026-05,재원생 진도·수업,2165
2026-05,정산·수납 관리,6514
2026-05,출결 관리,23236
2026-05,컴플레인,43
2026-05,퇴원 상담,6668
2026-06,LIVE,3454
2026-06,교재 수령,476
2026-06,기타,926
2026-06,대기자 관리,4844
2026-06,마이클래스 문의,45
2026-06,설명회·컨설팅,782
2026-06,수업관련 질의응답,1
2026-06,입반 상담,16674
2026-06,재원생 진도·수업,1009
2026-06,정산·수납 관리,4654
2026-06,출결 관리,14395
2026-06,컴플레인,21
2026-06,퇴원 상담,2516
