대분류,중분류,건수,비중%
입반 상담,입반 상담,59656,14.06
출결 관리,동영상보강 문의,32358,7.63
출결 관리,동보자료수령,31690,7.47
출결 관리,결석생 TX,27597,6.51
출결 관리,결석 예정,23501,5.54
LIVE,(L)입반 문의,15412,3.63
정산·수납 관리,수강료/교재비문의,14265,3.36
LIVE,(L)환불·취소,13411,3.16
대기자 관리,대기 접수,11275,2.66
입반 상담,(재)수강 확인,10965,2.58
퇴원 상담,수강취소(수강의사없음),10684,2.52
퇴원 상담,시간 안맞음,9807,2.31
정산·수납 관리,미납상담,8954,2.11
LIVE,(L)복습·추가영상,7890,1.86
대기자 관리,대기 충원 입반(신규),7258,1.71
LIVE,(L)결제·수강료 문의,6514,1.54
출결 관리,지각예정,6477,1.53
LIVE,(L)전반 문의,5641,1.33
기타,이외,5478,1.29
입반 상담,LIVE 수업 문의,5477,1.29
정산·수납 관리,결제 문의·결제 문자 전송,5321,1.25
입반 상담,전반요청·문의,5242,1.24
정산·수납 관리,환불·이월·미납 문의,5083,1.2
출결 관리,출석부 확인,4936,1.16
퇴원 상담,수업계획 변경,4907,1.16
입반 상담,입반상담 기타,4320,1.02
재원생 진도·수업,교재·과제 문의,3992,0.94
LIVE,(L)기타,3961,0.93
출결 관리,현장보강 문의,3631,0.86
설명회·컨설팅,컨설팅 예약·취소·변경 문의,3575,0.84
퇴원 상담,이동(라이브반),3399,0.8
LIVE,(L)교재·과제 문의,3278,0.77
LIVE,(L)배송 문의,3203,0.76
대기자 관리,대기 번호 확인,3170,0.75
입반 상담,입반 TEST,3000,0.71
재원생 진도·수업,강의실 문의,2822,0.67
기타,부엉이라이브러리,2676,0.63
입반 상담,신규입반·DB 등록,2607,0.61
퇴원 상담,수업 안맞음·난이도,2307,0.54
대기자 관리,대기 충원 입반(라이브에서 전반),2254,0.53
재원생 진도·수업,휴강·재개강 문의,2216,0.52
재원생 진도·수업,진도·커리큘럼 문의,2188,0.52
교재 수령,수령 관련 문의,2127,0.5
대기자 관리,대기 충원 입반(현강에서 전반),2011,0.47
퇴원 상담,퇴원 상담 기타,1963,0.46
LIVE,(L)라->현 충원문의,1927,0.45
설명회·컨설팅,설명회 예약·취소·변경 문의,1879,0.44
퇴원 상담,이동(내부 타강사),1747,0.41
입반 상담,단순 시간표 문의,1583,0.37
교재 수령,본관 교재수령,1482,0.35
교재 수령,수업관 교재수령,1394,0.33
LIVE,(L)카톡채널,1334,0.31
기타,타부서 연결,1248,0.29
재원생 진도·수업,복습영상 문의,1207,0.28
정산·수납 관리,수납상담,1004,0.24
퇴원 상담,수강 전 취소(미납),946,0.22
재원생 진도·수업,강사 교재비 문의,754,0.18
LIVE,(L)라이브 컴플,745,0.18
마이클래스 문의,통합회원 계정문의,736,0.17
기타,연구소 소통 문의,669,0.16
퇴원 상담,수강취소·강제퇴원,661,0.16
입반 상담,신규생 커리큘럼 문의,628,0.15
퇴원 상담,이동(외부 동일강사),575,0.14
기타,고교배정 확인,544,0.13
퇴원 상담,이동(재종),484,0.11
퇴원 상담,이동(외부 타강사),462,0.11
대기자 관리,현장 대기(LIVE입반),461,0.11
기타,분실물 문의,457,0.11
설명회·컨설팅,컨설팅 시기(일정) 문의,377,0.09
설명회·컨설팅,설명회 시기(일정) 문의,296,0.07
대기자 관리,대기 취소,295,0.07
기타,재종 상담 문의,245,0.06
출결 관리,QR코드배부·문의,202,0.05
교재 수령,연구소 교재수령,173,0.04
재원생 진도·수업,마이클래스 문의,141,0.03
컴플레인,컴플레인 기타,125,0.03
정산·수납 관리,납입이력변경,111,0.03
마이클래스 문의,동영상보강 문의,88,0.02
정산·수납 관리,오입금,76,0.02
정산·수납 관리,현금영수증요청,74,0.02
마이클래스 문의,앱 서비스 오류,74,0.02
마이클래스 문의,복습영상 문의,72,0.02
퇴원 상담,강사 불만족,67,0.02
기타,부엉이포스트,53,0.01
컴플레인,수강료·교재비 불만,53,0.01
컴플레인,강의실 환경,35,0.01
컴플레인,연구소 소통,33,0.01
컴플레인,동영상 보강,30,0.01
컴플레인,안내 누락·오안내,30,0.01
컴플레인,수업 불만,25,0.01
수업관련 질의응답,수업시간에 다루는 내용에 대한 질문,17,0.0
컴플레인,LIVE관련,16,0.0
마이클래스 문의,중복DB 삭제 요청,15,0.0
컴플레인,컨설팅 관련,14,0.0
마이클래스 문의,웹 사이트 오류,13,0.0
기타,중복DB 삭제 요청,11,0.0
정산·수납 관리,컴플레인,10,0.0
컴플레인,원장·책임자 통화 요청,3,0.0
